slot,regex,regex_complex,advice,consequence,show
地址,(地址|地點|位置)[:：]\s*([^\n\r]+),(地址|地點)：?([\u4e00-\u9fa5a-zA-Z0-9]+市[\u4e00-\u9fa5a-zA-Z0-9]+路),請補上詳細地址，例如「台北市大安區信義路三段123號」。,無法評估地段、比價、生活機能或治安風險。,1
格局,(格局|房型|房間配置)[:：]\s*([^\n\r]+),格局：?(\d+房)?/?(\d+廳)?/?(\d+衛)?/?(\d+陽台)?,請問格局為何？例如「2房1廳1衛」。,無法判斷空間是否符合需求與租金是否合理。,1
坪數,(坪數|大小|面積)[:：]\s*([^\n\r]+),(室內)?坪數[:：]?[^\d]*(\d+\.?\d*)坪,請提供坪數資訊，例如「20坪」。,無法計算單坪租金，也無法評估是否狹小或空間浪費。,1
樓層,(樓層|樓層數|層數)[:：]\s*([^\n\r]+),樓層：?([0-9]+樓)/?(整棟)?([0-9]+樓)?,請問所在樓層為何？例如「5樓/共12樓」。,無法評估通風、日照、噪音或逃生風險。,1
租金,(租金|房租|租費)[:：]\s*([^\n\r]+),"租金：?(\d{4,6})",請提供租金金額，例如「25000元/月」。,無法進行性價比分析，也無法評估是否偏高。,1
租金含,(租金含|租金包含|含租金)[:：]\s*([^\n\r]+),租金含[:：]?(.*),租金包含哪些項目？例如網路、水電、第四台等。,可能另有隱藏費用，影響實際支出。,1
管理費,(管理費|管理費用|管理費用)[:：]\s*([^\n\r]+),管理費[:：]?(.*),請問管理費多少？或是否已包含在租金內？,忽略額外支出，導致誤判總成本。,1
帳單,(水費|電費|帳單)[:：]\s*([^\n\r]+),(水費|電費|帳單)：?([^\n]+),水電費怎麼算？依帳單、均分還是定額？,可能產生爭議或額外負擔。,1
機車位,(機車位|機車停車位|機車車位)[:：]\s*([^\n\r]+),機車位[:：]?(.*),有機車停車位嗎？是免費還需額外付費？,對通勤族不便或額外開銷。,1
汽車位,(汽車位|汽車停車位|汽車車位)[:：]\s*([^\n\r]+),汽車位[:：]?(.*),有汽車車位嗎？若有是怎麼計費的？,開車族無法評估是否適合長期停放。,0
電梯,(電梯|有無電梯|是否有電梯)[:：]\s*([^\n\r]+),電梯[:：]?(有|無),大樓有電梯嗎？,無電梯對高樓層者不便，也影響搬家與緊急狀況。,0
寵物,(寵物|養寵物|可養寵物)[:：]\s*([^\n\r]+),寵物[:：]?(.*),是否可養寵物？例如「可養貓狗」、「不可養寵物」。,飼主未確認可能導致違約或被趕出。,1
禁菸,(禁菸|禁煙|是否禁菸)[:：]?\s*([^\n\r]+)?,(完全)?禁菸,是否禁菸？,吸菸者未問明可能違反規定，非吸菸者可能擔憂空氣品質。,1
建案,(建案|社區|建案名稱)[:：]\s*([^\n\r]+),建案：?(.+?)\n,請問建案名稱為何？若是社區型大樓更需要此資訊。,無法進一步查詢管理品質、社區評價。,0
類型,(類型|房屋類型|型態)[:：]\s*([^\n\r]+),類型：?([\u4e00-\u9fa5a-zA-Z0-9]+),房屋類型是套房、雅房、整層住家，還是其他？,無法判斷隱私程度與空間分配是否適合。,1
飲水機,(飲水機|提供飲水機)[:：]\s*([^\n\r]+),飲水機[:：]?(有|無),是否提供飲水機？,無法得知是否需自備飲水設備，可能影響日常生活便利性與成本。,1
曬衣空間,(曬衣空間|晾衣空間|曬衣場)[:：]\s*([^\n\r]+),(曬衣空間|晾衣空間)[:：]?(有|無),是否提供曬衣空間？,無法判斷衣物乾燥方式，恐需另尋曬衣替代方案，影響居住實用性。,0
頂樓加蓋,(頂樓加蓋|頂樓加蓋物|頂樓加蓋狀況)[:：]\s*([^\n\r]+),(是否)?頂樓加蓋[:：]?(是|否|有|無)?,是否為頂樓加蓋？,無法掌握結構安全與夏季溫度問題，影響居住舒適與安全性。,1
垃圾處理,(垃圾處理|垃圾回收|垃圾處理方式)[:：]\s*([^\n\r]+),(垃圾回收|垃圾處理)[:：]?(子母車|代收|自?行處理|無)?,如何處理垃圾回收？例如：子母車、代收、自行處理等。,無法掌握垃圾處理機制，可能增加生活困擾。,1
對外窗,(對外窗|窗戶|外窗)[:：]\s*([^\n\r]+),對外窗[:：]?(有|無),是否有對外窗？,無窗或採光不足會影響通風與心情，可能導致發霉或潮濕問題。,1
廚房,(廚房|烹飪區|廚房設備)[:：]\s*([^\n\r]+),(廚房[:：]?(可?開火|不可開火|有|無)),有無廚房？是否可開火或使用電磁爐？,無廚房或禁火限制恐影響日常飲食安排。1,
設籍報稅,(設籍|報稅|設籍報稅)[:：]\s*([^\n\r]+),(設籍|報稅)[:：]?(可|不可|禁止|允許)?,是否可報稅設籍？是否為合法建物？,無法報稅或設籍會影響補助、學區、居留等權益，也可能涉違建。,1
家具,(家具|傢俱|家具設備)[:：]\s*([^\n\r]+),家具[:：]?(.*?床.*?|.*?衣櫃.*?|.*?書桌.*?|無),是否有基本家具？例如床、衣櫃、書桌等,缺乏家具需自備，會增加初期搬遷成本與不便。,1
租期條件,(租期條件|租約條件|租期)[:：]\s*([^\n\r]+),(最短租期|提前解約)[:：]?(.*),最短租期與提前解約條件為何？,無法彈性調整生活規劃，亦可能面臨解約違約金。,1
安全設備,(安全設備|消防設備|安全裝置)[:：]\s*([^\n\r]+),(火災警報器|滅火器|逃生通道)[:：]?(有|無),是否有火災警報器、滅火器或緊急逃生通道？,安全設備不明，發生災害時風險上升。,0
網路,(網路|網路速度|網路提供)[:：]\s*([^\n\r]+),網路[:：]?(共用|獨立|無)?,網路速度與提供方式？為共用或獨立？,共用網路可能不穩定，影響工作與生活品質。,0